draw_date,draw_index,jackpot_usd,w1,w2,w3,w4,w5,pb,powerplay
2/3/2010,1,115000000,17,22,36,37,52,24,2
2/6/2010,2,140000000,14,22,52,54,59,4,3
2/10/2010,3,20000000,5,8,29,37,38,34,5
2/13/2010,4,25000000,10,14,30,40,51,1,4
2/17/2010,5,40000000,7,8,19,26,36,15,3
2/20/2010,6,57000000,13,27,37,41,54,32,2
2/24/2010,7,76000000,4,17,35,50,57,12,2
2/27/2010,8,95000000,18,47,51,53,58,30,2
3/3/2010,9,114000000,7,9,14,45,49,23,4
3/6/2010,10,139000000,10,29,33,41,59,15,2
3/10/2010,11,170000000,17,21,37,41,50,1,2
3/13/2010,12,200000000,6,16,20,31,36,8,5
3/17/2010,13,20000000,24,26,45,48,55,8,2
3/20/2010,14,28000000,9,36,39,44,45,9,2
3/24/2010,15,43000000,14,20,24,39,49,7,3
3/27/2010,16,60000000,7,21,32,44,52,10,4
3/31/2010,17,81000000,5,13,17,45,54,12,5
4/3/2010,18,103000000,10,15,31,52,59,4,4
4/7/2010,19,125000000,4,36,40,44,52,33,2
4/10/2010,20,150000000,21,22,49,52,58,34,2
4/14/2010,21,175000000,6,14,32,38,52,20,3
4/17/2010,22,212000000,5,21,22,41,49,15,5
4/21/2010,23,252000000,11,34,41,49,55,20,2
4/24/2010,24,20000000,1,12,53,56,57,5,2
4/28/2010,25,30000000,12,22,25,28,44,24,4
5/1/2010,26,45000000,16,23,25,49,58,20,4
5/5/2010,27,60000000,13,34,40,47,57,11,4
5/8/2010,28,80000000,5,22,34,41,57,31,5
5/12/2010,29,97000000,37,51,52,53,58,38,2
5/15/2010,30,120000000,15,21,23,28,36,20,2
5/19/2010,31,145000000,2,7,29,55,58,27,3
5/22/2010,32,170000000,19,20,40,47,57,29,2
5/26/2010,33,190000000,1,6,10,13,20,32,4
5/29/2010,34,220000000,1,3,24,28,41,10,4
6/2/2010,35,260000000,4,9,14,39,43,38,4
6/5/2010,36,20000000,18,34,40,48,59,25,4
6/9/2010,37,28000000,14,22,27,32,49,5,4
6/12/2010,38,44000000,9,12,13,35,38,30,10
6/16/2010,39,60000000,8,11,18,29,36,6,5
6/19/2010,40,78000000,9,30,31,50,54,39,3
6/23/2010,41,97000000,11,30,45,47,48,10,3
6/26/2010,42,20000000,13,30,32,38,57,25,4
6/30/2010,43,27000000,6,38,43,47,48,27,5
7/3/2010,44,41000000,3,10,14,52,53,3,3
7/7/2010,45,54000000,10,41,44,48,56,4,2
7/10/2010,46,72000000,20,21,27,28,56,4,4
7/14/2010,47,20000000,20,21,23,38,42,6,3
7/17/2010,48,27000000,22,27,35,37,45,3,4
7/21/2010,49,37000000,16,22,30,51,58,25,3
7/24/2010,50,52000000,20,30,38,46,59,27,2
7/28/2010,51,67000000,1,11,20,25,27,2,5
7/31/2010,52,85000000,1,16,17,41,57,15,3
8/4/2010,53,20000000,19,28,30,37,53,36,4
8/7/2010,54,25000000,4,22,26,31,52,30,5
8/11/2010,55,38000000,7,10,22,23,52,29,2
8/14/2010,56,51000000,9,33,36,50,58,31,2
8/18/2010,57,64000000,4,32,33,47,55,39,3
8/21/2010,58,80000000,7,10,12,22,27,26,2
8/25/2010,59,20000000,16,17,29,31,36,23,3
8/28/2010,60,25000000,4,22,27,32,56,13,4
9/1/2010,61,34000000,17,20,21,40,51,19,3
9/4/2010,62,47000000,11,14,22,33,42,38,2
9/8/2010,63,62000000,10,35,39,51,57,20,5
9/11/2010,64,79000000,7,17,20,36,59,33,4
9/15/2010,65,94000000,7,20,21,34,43,34,5
9/18/2010,66,112000000,1,18,37,39,44,13,4
9/22/2010,67,20000000,10,24,36,52,55,15,5
9/25/2010,68,25000000,8,16,27,35,42,30,2
9/29/2010,69,35000000,13,44,51,52,55,30,4
10/2/2010,70,48000000,12,20,30,36,47,25,4
10/6/2010,71,60000000,14,26,37,41,46,24,5
10/9/2010,72,20000000,2,6,32,42,49,35,3
10/13/2010,73,25000000,12,22,32,34,46,2,4
10/16/2010,74,34000000,11,12,15,16,28,11,2
10/20/2010,75,46000000,7,17,20,39,59,17,3
10/23/2010,76,59000000,2,7,16,20,46,34,4
10/27/2010,77,72000000,20,24,25,53,59,15,5
10/30/2010,78,87000000,1,7,27,36,49,39,5
11/3/2010,79,104000000,34,38,39,45,50,33,2
11/6/2010,80,123000000,7,12,23,34,38,33,4
11/10/2010,81,20000000,5,8,11,40,44,10,4
11/13/2010,82,25000000,17,30,48,51,54,29,5
11/17/2010,83,35000000,14,16,53,54,59,5,3
11/20/2010,84,50000000,10,12,38,53,57,1,5
